publishedAt,authorDisplayName,textDisplay
2023-12-31T07:13:35Z,@hidayataf7795,om Dedy memang cerdas. Masih mau mengingatkan orang dungu agar mengerti suatu masalah. Sehat selalu om Dedy
2023-12-31T06:18:36Z,@wawankurniawan4434,From the river to the sea Palestina will be free ☝🇵🇸🇵🇸🇵🇸
2023-12-31T06:14:37Z,@edikurniawan199,Sangat2 Bersyukur indonesia mayoritas muslim yg notabene menjunjung tinggi rasa toleransi...❤️🇮🇩
2023-12-31T06:01:16Z,@sriminarsih4348,Saya muslim saya bersama rakyat dan pejuang palestine kenyataannya israel negri penjajah selama 75 thn zionis membantai wrg palestina stiap hr skrg lah wkt nya melawan .. palestina wajib mmbela diri ❤❤
2023-12-31T04:33:32Z,@tinahkarpus6035,"Om Dedy 👍👍👍👍, lanjut,, Terima kasih Om Dedy"
2023-12-31T04:30:55Z,@brayensuoth8048,Demi konten lu bahas ginian... Emg gk ada konten lain apa
2023-12-31T03:35:16Z,@brianhaliman677,"Om emang palestina belum merdeka? Kok dia punya president resmi? Wktu kita belum merdeka kita gk punya presiden om. Tahun 1945 tgl 18 agustus satu hari setelah kita merdeka baru kita punya presiden resmi yang diakui negara lain. Palestina punya presiden resmi yang diakui negara2 lain kecuali beberapa negara, tp kenapa diblg belum merdeka om? Jangan aneh2 deh om. Palestina dan israel itu seperti taiwan china. Faktanya hanya pengakuan negara lain aja. Merdeka mah sudah merdeka."
2023-12-31T00:37:27Z,@didauta1451,"Israel itu tidak menjajah, seharusnya dedy ini jangan pura-pura ga tau sejarah nya israel dan tanah Kanaan,,,"
2023-12-31T00:36:07Z,@didauta1451,"Hamas itu harus di musnahkan,,,"
2023-12-31T00:35:25Z,@didauta1451,"Dedy ini lama&quot; Sok pintar dan tidak Fer,,,,"
2023-12-31T00:34:02Z,@didauta1451,"Kalau Palestina itu bukan islam, apakah Indonesia akan sengotot ini untuk membela Palestina?"
2023-12-31T00:30:59Z,@didauta1451,"Kemerdekaan adalah Hak segala Bangsa, apakah negara Indonesia akan melaksanakan kemerdekaan Bangsa Papua Barat??"
2023-12-31T00:19:44Z,@nrychannel2964,"<a href=""https://youtu.be/OdziDpXYEw8?si=DeyOyql4vFy7u9In"">https://youtu.be/OdziDpXYEw8?si=DeyOyql4vFy7u9In</a>"
2023-12-30T22:24:25Z,@senimanreligikudus9122,"Om ded ☝️☝️☝️... rohingnya juga muslim, mereka juga manusia sama seperti palestin, tanpa melihat agama apakah mereka tidak berhak mendapat hak kemanusiaan.. orang indonesia ini gembar gembor jago banget kalau ngomong indah bangeeeet, kemanusian lah sodara seiman lah, lah itu di aceh ada ribuan suku rohingnya, kenapa mereka tidak dianggap manusia dan kapan mereka dianggap manusia, kenapa kita tidak mikir jika kita ada diantara mereka saat ini??<br>Monggo dijawab om ded😁🙏👋👋😂😂😂"
2023-12-30T21:08:56Z,@rumahmakanria-mv5lp,"pas , kata om dedy, gender ny ja bnyak yg gk tau , lom jelas man pa women ny.. 😂😂<br>Insya ALLAH Om dedy terus tawakal di jalan ALLAH..Amiiinnn..❤"
2023-12-30T18:17:45Z,@taufikhidayat5633,"Tidak bicara gender tapi rupa2nya kaum LGTV, mabok jamur juga nampaknya"
2023-12-30T17:29:07Z,@Maver1cK..,"<a href=""https://www.youtube.com/watch?v=X1wNu7LRV3A&amp;t=7m25s"">7:25</a> hmmm sorry sblmnya tp kenapa dana ke Papua itu disebut dana bantuan ya? Kalau memang Papua itu bagian NKRI harusnya tidak disebut dana bantuan bkn? Tp memang kewajiban pemerintah utk pengembangan Papua, ya sekali lagi karena Papua adalah bagian dr NKRI.. tp ya ini pendapat saya aja.."
2023-12-30T17:19:25Z,@user-fx6pq8fl3z,"<a href=""https://youtu.be/OdziDpXYEw8?si=FcGoSisvObmLolEm"">https://youtu.be/OdziDpXYEw8?si=FcGoSisvObmLolEm</a>"
2023-12-30T16:35:49Z,@mojofixs5762,"kalau si elia atau indah ketemuan di tahun 1998 bulan mei, udah jadi tiang jemuraan ini anak."
2023-12-30T14:07:31Z,@dewicahyani7322,Oo jdi it si elia laki to kirain cewe.ko  cewe bgt
